index,Positive Word,Negative Word
1108,,discouraging
1109,,discouragingly
1110,,discourteous
1111,,discourteously
1112,,discredit
1113,,discrepant
1114,,discriminate
1115,,discrimination
1116,,discriminatory
1117,,disdain
1118,,disdained
1119,,disdainful
1120,,disdainfully
1121,,disfavor
1122,,disgrace
1123,,disgraced
1124,,disgraceful
1125,,disgracefully
1126,,disgruntle
1127,,disgruntled
1128,,disgust
1129,,disgusted
1130,,disgustedly
1131,,disgustful
1132,,disgustfully
1133,,disgusting
1134,,disgustingly
1135,,dishearten
1136,,disheartening
1137,,dishearteningly
1138,,dishonest
1139,,dishonestly
1140,,dishonesty
1141,,dishonor
1142,,dishonorable
1143,,disillusion
1144,,disillusioned
1145,,disillusionment
1146,,disillusions
1147,,disinclination
1148,,disinclined
1149,,disingenuous
1150,,disingenuously
1151,,disintegrate
1152,,disintegrated
1153,,disintegrates
1154,,disintegration
1155,,disinterest
1156,,disinterested
1157,,dislike
1158,,disliked
1159,,dislikes
1160,,disliking
1161,,dislocated
1162,,disloyal
1163,,disloyalty
1164,,dismal
1165,,dismally
1166,,dismalness
1167,,dismay
1168,,dismayed
1169,,dismaying
1170,,dismayingly
1171,,dismissive
1172,,dismissively
1173,,disobedience
1174,,disobedient
1175,,disobey
1176,,disorder
1177,,disordered
1178,,disorderly
1179,,disorganized
1180,,disorient
1181,,disoriented
1182,,disown
1183,,disparage
1184,,disparaging
1185,,disparagingly
1186,,dispensable
1187,,dispirit
1188,,dispirited
1189,,dispiritedly
1190,,dispiriting
1191,,displace
1192,,displaced
1193,,displease
1194,,displeased
1195,,displeasing
1196,,displeasure
1197,,disproportionate
1198,,disprove
1199,,disputable
1200,,dispute
1201,,disputed
1202,,disquiet
1203,,disquieting
1204,,disquietingly
1205,,disquietude
1206,,disregard
1207,,disregardful
1208,,disreputable
1209,,disrepute
1210,,disrespect
1211,,disrespectable
1212,,disrespectful
1213,,disrespectfully
1214,,disrespectfulness
1215,,disrespecting
1216,,disrupt
1217,,disruption
1218,,disruptive
1219,,dissatisfaction
1220,,dissatisfactory
1221,,dissatisfied
1222,,dissatisfies
1223,,dissatisfy
1224,,dissatisfying
1225,,dissed
1226,,dissemble
1227,,dissembler
1228,,dissension
1229,,dissent
1230,,dissenter
1231,,dissention
1232,,disservice
1233,,disses
1234,,dissidence
1235,,dissident
1236,,dissidents
1237,,dissing
1238,,dissocial
1239,,dissolute
1240,,dissolution
1241,,dissonance
1242,,dissonant
1243,,dissonantly
1244,,dissuade
1245,,dissuasive
1246,,distains
1247,,distaste
1248,,distasteful
1249,,distastefully
1250,,distort
1251,,distorted
1252,,distortion
1253,,distorts
1254,,distract
1255,,distracting
1256,,distraction
1257,,distraught
1258,,distraughtly
1259,,distress
1260,,distressed
1261,,distressing
1262,,distressingly
1263,,distrust
1264,,distrustful
1265,,distrusting
1266,,disturb
1267,,disturbance
1268,,disturbed
1269,,disturbing
1270,,disturbingly
1271,,disunity
1272,,disvalue
1273,,divergent
1274,,divisive
1275,,divisively
1276,,divisiveness
1277,,dizzy
1278,,doddering
1279,,dogged
1280,,doggedly
1281,,dogmatic
1282,,doldrums
1283,,domineer
1284,,domineering
1285,,doom
1286,,doomed
1287,,doomsday
1288,,dope
1289,,doubt
1290,,doubtful
1291,,doubtfully
1292,,doubts
1293,,douchebag
1294,,douchebags
1295,,downbeat
1296,,downcast
1297,,downer
1298,,downfall
1299,,downfallen
1300,,downgrade
1301,,downhearted
1302,,downheartedly
1303,,downhill
1304,,downside
1305,,downsides
1306,,downturn
1307,,downturns
1308,,drab
1309,,draconian
1310,,draconic
1311,,drag
1312,,dragged
1313,,dragging
1314,,dragoon
1315,,drags
1316,,drain
1317,,drained
1318,,draining
1319,,drains
1320,,drastic
1321,,drastically
1322,,drawback
1323,,drawbacks
1324,,dread
1325,,dreadful
1326,,dreadfully
1327,,dreadfulness
1328,,dreary
1329,,dripped
1330,,dripping
1331,,drippy
1332,,drips
1333,,drones
1334,,droop
1335,,droops
1336,,drop-out
1337,,drop-outs
1338,,dropout
1339,,dropouts
1340,,drought
1341,,drowning
1342,,drunk
1343,,drunkard
1344,,drunken
1345,,dubious
1346,,dubiously
1347,,dubitable
1348,,dud
1349,,dull
1350,,dullard
1351,,dumb
1352,,dumbfound
1353,,dump
1354,,dumped
1355,,dumping
1356,,dumps
1357,,dunce
1358,,dungeon
1359,,dungeons
1360,,dupe
1361,,dust
1362,,dusty
1363,,dwindling
1364,,dying
1365,,earsplitting
1366,,eccentric
1367,,eccentricity
1368,,effigy
1369,,effrontery
1370,,egocentric
1371,,egomania
1372,,egotism
1373,,egotistical
1374,,egotistically
1375,,egregious
1376,,egregiously
1377,,election-rigger
1378,,elimination
1379,,emaciated
1380,,emasculate
1381,,embarrass
1382,,embarrassing
1383,,embarrassingly
1384,,embarrassment
1385,,embattled
1386,,embroil
1387,,embroiled
1388,,embroilment
1389,,emergency
1390,,emphatic
1391,,emphatically
1392,,emptiness
1393,,encroach
1394,,encroachment
1395,,endanger
1396,,enemies
1397,,enemy
1398,,enervate
1399,,enfeeble
1400,,enflame
1401,,engulf
1402,,enjoin
1403,,enmity
1404,,enrage
1405,,enraged
1406,,enraging
1407,,enslave
1408,,entangle
1409,,entanglement
1410,,entrap
1411,,entrapment
1412,,envious
1413,,enviously
1414,,enviousness
1415,,epidemic
1416,,equivocal
1417,,erase
1418,,erode
1419,,erodes
1420,,erosion
1421,,err
1422,,errant
1423,,erratic
1424,,erratically
1425,,erroneous
1426,,erroneously
1427,,error
1428,,errors
1429,,eruptions
1430,,escapade
1431,,eschew
1432,,estranged
1433,,evade
1434,,evasion
1435,,evasive
1436,,evil
1437,,evildoer
1438,,evils
1439,,eviscerate
1440,,exacerbate
1441,,exaggerate
1442,,exaggeration
1443,,exasperate
1444,,exasperated
1445,,exasperating
1446,,exasperatingly
1447,,exasperation
1448,,excessive
1449,,excessively
1450,,exclusion
1451,,excoriate
1452,,excruciating
1453,,excruciatingly
1454,,excuse
1455,,excuses
1456,,execrate
1457,,exhaust
1458,,exhausted
1459,,exhaustion
1460,,exhausts
1461,,exhort
1462,,exile
1463,,exorbitant
1464,,exorbitantly
1465,,expel
1466,,expensive
1467,,expire
1468,,expired
1469,,explode
1470,,exploit
1471,,exploitation
1472,,explosive
1473,,expropriate
1474,,expropriation
1475,,expulse
1476,,expunge
1477,,exterminate
1478,,extermination
1479,,extinguish
1480,,extort
1481,,extortion
1482,,extraneous
1483,,extravagance
1484,,extravagant
1485,,extravagantly
1486,,extremism
1487,,extremist
1488,,extremists
1489,,eyesore
1490,,f
1491,,k
1492,,fabricate
1493,,fabrication
1494,,facetious
1495,,facetiously
1496,,fail
1497,,failed
1498,,failing
1499,,fails
1500,,failure
1501,,failures
1502,,faint
1503,,fainthearted
1504,,faithless
1505,,fake
1506,,fall
1507,,fallacies
1508,,fallacious
1509,,fallaciously
1510,,fallaciousness
1511,,fallacy
1512,,fallen
1513,,falling
1514,,fallout
1515,,falls
1516,,FALSE
1517,,falsehood
1518,,falsely
1519,,falsify
1520,,falter
1521,,faltered
1522,,famine
1523,,famished
1524,,fanatic
1525,,fanatical
1526,,fanatically
1527,,fanaticism
1528,,fanatics
1529,,fanciful
1530,,far-fetched
1531,,farce
1532,,farcical
1533,,farcical-yet-provocative
1534,,farcically
1535,,farfetched
1536,,fascism
1537,,fascist
1538,,fastidious
1539,,fastidiously
1540,,fat
1541,,fat-cat
1542,,fat-cats
1543,,fatal
1544,,fatalistic
1545,,fatalistically
1546,,fatally
1547,,fateful
1548,,fatefully
1549,,fathomless
1550,,fatigue
1551,,fatigued
1552,,fatty
1553,,fatuity
1554,,fatuous
1555,,fatuously
1556,,fault
1557,,faults
1558,,faulty
1559,,fawningly
1560,,faze
1561,,fear
1562,,fearful
1563,,fearfully
1564,,fears
1565,,fearsome
1566,,feckless
1567,,feeble
1568,,feebleminded
1569,,feign
1570,,feint
1571,,fell
1572,,felon
1573,,felonious
1574,,ferociously
1575,,ferocity
1576,,fetid
1577,,fever
1578,,feverish
1579,,fevers
1580,,fiasco
1581,,fib
1582,,fibber
1583,,fickle
1584,,fiction
1585,,fictional
1586,,fictitious
1587,,fidget
1588,,fidgety
1589,,fiend
1590,,fiendish
1591,,fierce
1592,,figurehead
1593,,filth
1594,,filthy
1595,,finagle
1596,,finicky
1597,,fissures
1598,,fist
1599,,flabbergast
1600,,flabbergasted
1601,,flagging
1602,,flagrant
1603,,flagrantly
1604,,flair
1605,,flairs
1606,,flak
1607,,flake
1608,,flakey
1609,,flaking
1610,,flaky
1611,,flare
1612,,flares
1613,,flat-out
1614,,flaunt
1615,,flaw
1616,,flawed
1617,,flaws
1618,,flee
1619,,fleeing
1620,,fleer
1621,,flees
1622,,fleeting
1623,,flicker
1624,,flickering
1625,,flickers
1626,,flighty
1627,,flimflam
1628,,flimsy
1629,,flirt
1630,,flirty
1631,,floored
1632,,flounder
1633,,floundering
1634,,flout
1635,,fluster
1636,,foe
1637,,fool
1638,,fooled
1639,,foolhardy
1640,,foolish
1641,,foolishly
1642,,foolishness
1643,,forbid
1644,,forbidden
1645,,forbidding
1646,,forceful
1647,,foreboding
1648,,forebodingly
1649,,forfeit
1650,,forged
1651,,forgetful
1652,,forgetfully
1653,,forgetfulness
1654,,forlorn
1655,,forlornly
1656,,forsake
1657,,forsaken
1658,,forswear
1659,,foul
1660,,foully
1661,,foulness
1662,,fractious
1663,,fractiously
1664,,fracture
1665,,fragile
1666,,fragmented
1667,,frail
1668,,frantic
1669,,frantically
1670,,franticly
1671,,fraud
1672,,fraudulent
1673,,fraught
1674,,frazzle
1675,,frazzled
1676,,freak
1677,,freaking
1678,,freakish
1679,,freakishly
1680,,freaks
1681,,freeze
1682,,freezes
1683,,freezing
1684,,frenetic
1685,,frenetically
1686,,frenzied
1687,,frenzy
1688,,fret
1689,,fretful
1690,,frets
1691,,friction
1692,,frictions
1693,,fried
1694,,frigging
1695,,fright
1696,,frighten
1697,,frightening
1698,,frighteningly
1699,,frightful
1700,,frightfully
1701,,frigid
1702,,frost
1703,,frown
1704,,froze
1705,,frozen
1706,,fruitless
1707,,fruitlessly
1708,,frustrate
1709,,frustrated
1710,,frustrates
1711,,frustrating
1712,,frustratingly
1713,,frustration
1714,,frustrations
1715,,f
1716,,ck
1717,,f
1718,,cking
1719,,fudge
1720,,fugitive
1721,,full-blown
1722,,fulminate
1723,,fumble
1724,,fume
1725,,fumes
1726,,fundamentalism
1727,,funky
1728,,funnily
1729,,funny
1730,,furious
1731,,furiously
1732,,furor
1733,,fury
1734,,fuss
1735,,fussy
1736,,fustigate
1737,,fusty
1738,,futile
1739,,futilely
1740,,futility
1741,,fuzzy
1742,,gabble
1743,,gaff
1744,,gaffe
1745,,gainsay
1746,,gainsayer
1747,,gall
1748,,galling
1749,,gallingly
1750,,galls
1751,,gangster
1752,,gape
1753,,garbage
1754,,garish
1755,,gasp
1756,,gauche
1757,,gaudy
1758,,gawk
1759,,gawky
1760,,geezer
1761,,genocide
1762,,get-rich
1763,,ghastly
1764,,ghetto
1765,,ghosting
1766,,gibber
1767,,gibberish
1768,,gibe
1769,,giddy
1770,,gimmick
1771,,gimmicked
1772,,gimmicking
1773,,gimmicks
1774,,gimmicky
1775,,glare
1776,,glaringly
1777,,glib
1778,,glibly
1779,,glitch
1780,,glitches
1781,,gloatingly
1782,,gloom
1783,,gloomy
1784,,glower
1785,,glum
1786,,glut
1787,,gnawing
1788,,goad
1789,,goading
1790,,god-awful
1791,,goof
1792,,goofy
1793,,goon
1794,,gossip
1795,,graceless
1796,,gracelessly
1797,,graft
1798,,grainy
1799,,grapple
1800,,grate
1801,,grating
1802,,gravely
1803,,greasy
1804,,greed
1805,,greedy
1806,,grief
1807,,grievance
1808,,grievances
1809,,grieve
1810,,grieving
1811,,grievous
1812,,grievously
1813,,grim
1814,,grimace
1815,,grind
1816,,gripe
1817,,gripes
1818,,grisly
1819,,gritty
1820,,gross
1821,,grossly
1822,,grotesque
1823,,grouch
1824,,grouchy
1825,,groundless
1826,,grouse
1827,,growl
1828,,grudge
1829,,grudges
1830,,grudging
1831,,grudgingly
1832,,gruesome
1833,,gruesomely
1834,,gruff
1835,,grumble
1836,,grumpier
1837,,grumpiest
1838,,grumpily
1839,,grumpy
1840,,guile
1841,,guilt
1842,,guiltily
1843,,guilty
1844,,gullible
1845,,gutless
1846,,gutter
1847,,hack
1848,,hacks
1849,,haggard
1850,,haggle
1851,,halfhearted
1852,,halfheartedly
1853,,hallucinate
1854,,hallucination
1855,,hamper
1856,,hampered
1857,,handicapped
1858,,hang
1859,,hangs
1860,,haphazard
1861,,hapless
1862,,harangue
1863,,harass
1864,,harassed
1865,,harasses
1866,,harassment
1867,,harboring
1868,,harbors
1869,,hard
1870,,hard-hit
1871,,hard-liner
1872,,hardball
1873,,harden
1874,,hardened
1875,,hardheaded
1876,,hardhearted
1877,,hardliner
1878,,hardliners
1879,,hardship
1880,,hardships
1881,,harm
1882,,harmed
1883,,harmful
1884,,harms
1885,,harpy
1886,,harridan
1887,,harried
1888,,harrow
1889,,harsh
1890,,harshly
1891,,hassle
1892,,hassled
1893,,hassles
1894,,haste
1895,,hastily
1896,,hasty
1897,,hate
1898,,hated
1899,,hateful
1900,,hatefully
1901,,hatefulness
1902,,hater
1903,,haters
1904,,hates
1905,,hating
1906,,hatred
1907,,haughtily
1908,,haughty
1909,,haunt
1910,,haunting
1911,,havoc
1912,,hawkish
1913,,haywire
1914,,hazard
1915,,hazardous
1916,,haze
1917,,hazy
1918,,head-aches
1919,,headache
1920,,headaches
1921,,heartbreaker
1922,,heartbreaking
1923,,heartbreakingly
1924,,heartless
1925,,heathen
1926,,heavy-handed
1927,,heavyhearted
1928,,heck
1929,,heckle
1930,,heckled
1931,,heckles
1932,,hectic
1933,,hedge
1934,,hedonistic
1935,,heedless
1936,,hefty
1937,,hegemony
1938,,heinous
1939,,hell
1940,,hell-bent
1941,,hellion
1942,,hells
1943,,helpless
1944,,helplessly
1945,,helplessness
1946,,heresy
1947,,heretic
1948,,heretical
1949,,hesitant
1950,,hideous
1951,,hideously
1952,,hideousness
1953,,high-priced
1954,,hinder
1955,,hindrance
1956,,hiss
1957,,hissed
1958,,hissing
1959,,ho-hum
1960,,hoard
1961,,hoax
1962,,hobble
1963,,hogs
1964,,hollow
1965,,hoodwink
1966,,hooligan
1967,,hopeless
1968,,hopelessly
1969,,hopelessness
1970,,horde
1971,,horrendous
1972,,horrendously
1973,,horrible
1974,,horrid
1975,,horrific
1976,,horrified
1977,,horrifies
1978,,horrify
1979,,horrifying
1980,,hostage
1981,,hostile
1982,,hostilities
1983,,hostility
1984,,hotbeds
1985,,hothead
1986,,hotheaded
1987,,hothouse
1988,,hubris
1989,,huckster
1990,,hum
1991,,humid
1992,,humiliate
1993,,humiliating
1994,,humiliation
1995,,humming
1996,,hung
1997,,hurt
1998,,hurtful
1999,,hurting
2000,,hurts
2001,,hustler
2002,,hype
2003,,hypocrisy
2004,,hypocrite
2005,,hypocrites
2006,,hypocritical
2007,,hypocritically
2008,,hysteria
2009,,hysteric
2010,,hysterical
2011,,hysterically
2012,,hysterics
2013,,idiocies
2014,,idiocy
2015,,idiot
2016,,idiotic
2017,,idiotically
2018,,idiots
2019,,idle
2020,,ignoble
2021,,ignominious
2022,,ignominiously
2023,,ignominy
2024,,ignorance
2025,,ignorant
2026,,ignore
2027,,ill-advised
2028,,ill-conceived
2029,,ill-defined
2030,,ill-designed
2031,,ill-fated
2032,,ill-favored
2033,,ill-formed
2034,,ill-mannered
2035,,ill-natured
2036,,ill-sorted
2037,,ill-tempered
2038,,ill-treated
2039,,ill-treatment
2040,,ill-usage
2041,,ill-used
2042,,illegal
2043,,illegally
2044,,illegitimate
2045,,illicit
2046,,illiterate
2047,,illness
2048,,illogical
2049,,illogically
2050,,illusion
2051,,illusions
2052,,illusory
2053,,imaginary
2054,,imbalance
2055,,imbecile
2056,,imbroglio
2057,,immaterial
2058,,immature
2059,,imminence
2060,,imminently
2061,,immobilized
2062,,immoderate
2063,,immoderately
2064,,immodest
2065,,immoral
2066,,immorality
2067,,immorally
2068,,immovable
2069,,impair
2070,,impaired
2071,,impasse
2072,,impatience
2073,,impatient
2074,,impatiently
2075,,impeach
2076,,impedance
2077,,impede
2078,,impediment
2079,,impending
2080,,impenitent
2081,,imperfect
2082,,imperfection
2083,,imperfections
2084,,imperfectly
2085,,imperialist
2086,,imperil
2087,,imperious
2088,,imperiously
2089,,impermissible
2090,,impersonal
2091,,impertinent
2092,,impetuous
2093,,impetuously
2094,,impiety
2095,,impinge
2096,,impious
2097,,implacable
2098,,implausible
2099,,implausibly
2100,,implicate
2101,,implication
2102,,implode
2103,,impolite
2104,,impolitely
2105,,impolitic
2106,,importunate
2107,,importune
2108,,impose
2109,,imposers
2110,,imposing
2111,,imposition
2112,,impossible
2113,,impossibly
2114,,impotent
2115,,impoverish
2116,,impoverished
2117,,impractical
2118,,imprecate
2119,,imprecise
2120,,imprecisely
2121,,imprecision
2122,,imprison
2123,,imprisonment
2124,,improbability
2125,,improbable
2126,,improbably
2127,,improper
2128,,improperly
2129,,impropriety
2130,,imprudence
2131,,imprudent
2132,,impudence
2133,,impudent
2134,,impudently
2135,,impugn
2136,,impulsive
2137,,impulsively
2138,,impunity
2139,,impure
2140,,impurity
2141,,inability
2142,,inaccuracies
2143,,inaccuracy
2144,,inaccurate
2145,,inaccurately
2146,,inaction
2147,,inactive
2148,,inadequacy
2149,,inadequate
2150,,inadequately
2151,,inadvisable
2152,,inane
2153,,inanely
2154,,inappropriate
2155,,inappropriately
2156,,inapt
2157,,inarticulate
2158,,inattentive
2159,,inaudible
2160,,incapable
2161,,incapably
2162,,incautious
2163,,incendiary
2164,,incense
2165,,incessant
2166,,incessantly
2167,,incite
2168,,incitement
2169,,incivility
2170,,inclement
2171,,incoherence
2172,,incoherent
2173,,incoherently
2174,,incommensurate
2175,,incomparable
2176,,incomparably
2177,,incompatibility
2178,,incompatible
2179,,incompetence
2180,,incompetent
2181,,incompetently
2182,,incomplete
2183,,incomprehensible
2184,,incomprehension
2185,,inconceivable
2186,,inconceivably
2187,,incongruous
2188,,incongruously
2189,,inconsequential
2190,,inconsequentially
2191,,inconsiderate
2192,,inconsiderately
2193,,inconsistencies
2194,,inconsistency
2195,,inconsistent
2196,,inconsolable
2197,,inconsolably
2198,,inconstant
2199,,inconvenience
2200,,inconveniently
2201,,incorrect
2202,,incorrectly
2203,,incorrigible
2204,,incorrigibly
2205,,incredulous
2206,,incredulously
2207,,inculcate
2208,,indecency
2209,,indecent
2210,,indecently
2211,,indecision
2212,,indecisive
2213,,indecisively
2214,,indefensible
2215,,indelicate
2216,,indeterminable
2217,,indeterminably
2218,,indeterminate
2219,,indifference
2220,,indifferent
2221,,indigent
2222,,indignant
2223,,indignantly
2224,,indignation
2225,,indignity
2226,,indiscernible
2227,,indiscreet
2228,,indiscreetly
2229,,indiscretion
2230,,indiscriminate
2231,,indiscriminately
2232,,indistinguishable
2233,,indoctrinate
2234,,indoctrination
2235,,indolent
2236,,indulge
2237,,ineffective
2238,,ineffectively
2239,,ineffectiveness
2240,,ineffectual
2241,,ineffectually
2242,,inefficacy
2243,,inefficiency
2244,,inefficient
2245,,inefficiently
2246,,inelegance
2247,,inelegant
2248,,ineligible
2249,,inept
2250,,ineptitude
2251,,ineptly
2252,,inequalities
2253,,inequality
2254,,inequitable
2255,,inequitably
2256,,inequities
2257,,inescapable
2258,,inescapably
2259,,inessential
2260,,inevitable
2261,,inevitably
2262,,inexcusable
2263,,inexcusably
2264,,inexorable
2265,,inexorably
2266,,inexperience
2267,,inexperienced
2268,,inexpert
2269,,inexpertly
2270,,inexpiable
2271,,inextricable
2272,,inextricably
2273,,infamous
2274,,infamously
2275,,infamy
2276,,infected
2277,,infection
2278,,infections
2279,,inferior
2280,,inferiority
2281,,infernal
2282,,infest
2283,,infested
2284,,infidel
2285,,infidels
2286,,infiltrator
2287,,infiltrators
2288,,infirm
2289,,inflame
2290,,inflammation
2291,,inflammatory
2292,,inflated
2293,,inflationary
2294,,inflexible
2295,,inflict
2296,,infraction
2297,,infringe
2298,,infringement
2299,,infringements
2300,,infuriate
2301,,infuriated
2302,,infuriating
2303,,infuriatingly
2304,,inglorious
2305,,ingrate
2306,,ingratitude
2307,,inhibit
2308,,inhibition
2309,,inhospitable
2310,,inhuman
2311,,inhumane
2312,,inhumanity
2313,,inimical
2314,,inimically
2315,,iniquitous
2316,,iniquity
2317,,injudicious
2318,,injure
2319,,injurious
2320,,injury
2321,,injustice
2322,,injustices
2323,,innuendo
2324,,inoperable
2325,,inopportune
2326,,inordinate
2327,,inordinately
2328,,insane
2329,,insanely
2330,,insanity
2331,,insatiable
2332,,insecure
2333,,insecurity
2334,,insensible
2335,,insensitive
2336,,insensitively
2337,,insensitivity
2338,,insidious
2339,,insidiously
2340,,insignificance
2341,,insignificant
2342,,insignificantly
2343,,insincere
2344,,insincerely
2345,,insincerity
2346,,insinuate
2347,,insinuating
2348,,insinuation
2349,,insolence
2350,,insolent
2351,,insolently
2352,,insolvent
2353,,insouciance
2354,,instability
2355,,instigate
2356,,instigator
2357,,instigators
2358,,insubordinate
2359,,insubstantial
2360,,insubstantially
2361,,insufferable
2362,,insufferably
2363,,insufficiency
2364,,insufficient
2365,,insufficiently
2366,,insular
2367,,insult
2368,,insulted
2369,,insulting
2370,,insultingly
2371,,insults
2372,,insupportable
2373,,insurmountable
2374,,insurmountably
2375,,insurrection
2376,,intense
2377,,interfere
2378,,interference
2379,,interferes
2380,,intermittent
2381,,interrupt
2382,,interruption
2383,,interruptions
2384,,intimidate
2385,,intimidating
2386,,intimidatingly
2387,,intimidation
2388,,intolerable
2389,,intolerance
2390,,intoxicate
2391,,intractable
2392,,intransigence
2393,,intransigent
2394,,intrude
2395,,intrusion
2396,,intrusive
2397,,inundate
2398,,inundated
2399,,invader
2400,,invalid
2401,,invalidate
2402,,invalidity
2403,,invasive
2404,,invective
2405,,inveigle
2406,,invidious
2407,,invidiously
2408,,invidiousness
2409,,invisible
2410,,involuntarily
2411,,involuntary
2412,,irascible
2413,,irate
2414,,irately
2415,,ire
2416,,irk
2417,,irked
2418,,irking
2419,,irks
2420,,irksome
2421,,irksomely
2422,,irksomeness
2423,,ironic
2424,,ironical
2425,,ironically
2426,,ironies
2427,,irony
2428,,irrational
2429,,irrationality
2430,,irrationally
2431,,irrationals
2432,,irreconcilable
2433,,irrecoverable
2434,,irrecoverably
2435,,irredeemable
2436,,irredeemably
2437,,irregular
2438,,irregularity
2439,,irrelevance
2440,,irrelevant
2441,,irreparable
2442,,irrepressible
2443,,irresolute
2444,,irresponsible
2445,,irresponsibly
2446,,irretrievable
2447,,irreversible
2448,,irritable
2449,,irritably
2450,,irritant
2451,,irritate
2452,,irritated
2453,,irritating
2454,,irritation
2455,,irritations
2456,,isolate
2457,,isolated
2458,,isolation
2459,,issue
2460,,issues
2461,,itch
2462,,itching
2463,,itchy
2464,,jabber
2465,,jaded
2466,,jagged
2467,,jam
2468,,jarring
2469,,jaundiced
2470,,jealous
2471,,jealously
2472,,jealousness
2473,,jealousy
2474,,jeer
2475,,jeering
2476,,jeeringly
2477,,jeers
2478,,jeopardize
2479,,jeopardy
2480,,jerk
2481,,jerky
2482,,jitter
2483,,jitters
2484,,jittery
2485,,job-killing
2486,,jobless
2487,,joke
2488,,joker
2489,,jolt
2490,,judder
2491,,juddering
2492,,judders
2493,,jumpy
2494,,junk
2495,,junky
2496,,junkyard
2497,,kill
2498,,killed
2499,,killer
2500,,killing
2501,,killjoy
2502,,kills
2503,,knave
2504,,knife
2505,,knock
2506,,knotted
2507,,kook
2508,,kooky
2509,,lack
2510,,lackadaisical
2511,,lacked
2512,,lackey
2513,,lackeys
2514,,lacking
2515,,lackluster
2516,,lacks
2517,,laconic
2518,,lag
2519,,lagged
2520,,lagging
2521,,lags
2522,,laid-off
2523,,lambast
2524,,lambaste
2525,,lame
2526,,lame-duck
2527,,lament
2528,,lamentable
2529,,lamentably
2530,,languid
2531,,languish
2532,,languor
2533,,languorous
2534,,languorously
2535,,lanky
2536,,lapse
2537,,lapsed
2538,,lapses
2539,,lascivious
2540,,last-ditch
2541,,latency
2542,,laughable
2543,,laughably
2544,,laughingstock
2545,,lawbreaker
2546,,lawbreaking
2547,,lawless
2548,,lawlessness
2549,,layoff
2550,,layoff-happy
2551,,lazy
2552,,leak
2553,,leakage
2554,,leakages
2555,,leaking
2556,,leaks
2557,,leaky
2558,,lecher
2559,,lecherous
2560,,lechery
2561,,leech
2562,,leer
2563,,leery
2564,,left-leaning
2565,,lemon
